1.16,0.07,2.92,0.17,5.790047128
0.82,0.13,3.04,0.25,1.26605987
0.79,0.1,3.14,0.2,1.155845973
0.53,0.07,3.09,0.18,1.465072596
0.93,0.07,3.29,0.14,1.591305899
0.61,0.06,2.93,0.16,1.205386148
0.82,0.05,2.87,0.12,1.131417438
0.81,0.02,2.35,0.05,1.086795781
0.57,0.11,2.9,0.19,1.358833649
0.52,0.04,3.23,0.12,1.492490306
0.69,0.05,3.04,0.15,1.07265428
-0.08,0.11,5.6,0.25,21.44230769
0.01,0.04,5.48,0.17,13.26701802
0.18,0.02,5.22,0.09,6.907767423
-0.17,0.09,5.77,0.21,40.84895285
-0.04,0.06,6.42,0.3,18.37467427
0.1,0.03,4.55,0.13,9.725104297
0.47,0.06,3.34,0.15,1.809885553
0.94,0.05,2.92,0.12,1.645428634
0.35,0.06,3.95,0.21,3.360659765
0.69,0.04,3.16,0.14,1.068093556
0.81,0.04,2.93,0.09,1.100006235
0.07,0.05,5.8,0.26,10.59415803
0.82,0.04,2.81,0.11,1.12483568
0.89,0.03,3.14,0.07,1.348338116
0.88,0.05,2.71,0.13,1.31976829
0.73,0.03,3.07,0.07,1.015416716
0.94,0.07,2.99,0.14,1.659032115
0.43,0.03,3.63,0.06,2.168223577
0.89,0.04,2.86,0.11,1.35501089
0.68,0.04,2.92,0.12,1.082719434
0.76,0.06,2.82,0.14,1.057882197
0.72,0.07,2.94,0.12,1.070506792
0.8,0.07,3.01,0.11,1.116796826
0.69,0.07,3.02,0.11,1.089490913
0.71,0.04,2.81,0.11,1.04299074
0.81,0.06,3.12,0.11,1.120292496
0.76,0.03,3,0.1,1.012284706
0.78,0.02,3.2,0.05,1.020581967
0.92,0.04,3.12,0.13,1.5024995
1.09,0.08,3.01,0.2,3.733283481
0.21,0.02,5.49,0.09,6.430466843
0.79,0.04,2.95,0.08,1.059577864
0.77,0.05,3.06,0.09,1.048865788
0.82,0.07,3.1,0.21,1.153778606
0.92,0.03,3.18,0.08,1.489983208
0.86,0.09,3.3,0.21,1.288134354
0.99,0.04,3.04,0.14,2.149922322
0.54,0.12,2.73,0.26,1.472361541
0.8,0.08,2.57,0.17,1.132984363
0.87,0.07,2.74,0.14,1.296422546
0.88,0.03,3.12,0.11,1.312638018
0.7,0.03,2.95,0.08,1.049880575
0.75,0.05,3.64,0.13,1.038072581
0.67,0.03,3.09,0.07,1.099807619
0.62,0.04,3.14,0.08,1.177956052
0.49,0.07,3.56,0.17,1.675480735
0.76,0.02,3.45,0.08,1.001421589
1.01,0.07,3.39,0.2,2.363694903
0.91,0.03,2.95,0.1,1.435298752
0.99,0.07,3.49,0.22,2.114133734
0.63,0.11,3.08,0.21,1.218863433
1,0.06,3.3,0.13,2.253345585
0.78,0.09,3.47,0.17,1.125356421
0.74,0.1,3.25,0.25,1.119625139
1,0.09,3.31,0.19,2.192626348
0.8,0.13,2.96,0.29,1.233071208
0.89,0.08,3.25,0.21,1.387030098
1.02,0.08,3.35,0.22,2.468879048
0.88,0.11,3.01,0.19,1.388526166
0.87,0.09,3.03,0.18,1.32150869
0.83,0.11,3.12,0.22,1.244069392
0.86,0.08,2.96,0.15,1.273769637
0.66,0.11,3.05,0.23,1.175841003
0.5,0.08,5.05,0.2,1.621864898
0.53,0.06,4.7,0.13,1.45683132
0.75,0.05,3.66,0.1,1.038072581
0.57,0.04,4.36,0.11,1.287700893
0.57,0.05,4.27,0.12,1.297993307
0.71,0.04,3.52,0.12,1.04299074
0.63,0.05,2.92,0.13,1.162615519
0.55,0.02,3.53,0.09,1.334271989
0.64,0.04,4.01,0.14,1.145404778
0.62,0.07,4.38,0.15,1.191276596
0.47,0.03,3.09,0.08,1.818824794
0.55,0.03,3.98,0.14,1.345100751
0.7,0.03,3.81,0.18,1.049880575
0.64,0.03,3.74,0.09,1.147526336
0.87,0.07,3.48,0.25,1.296422546
0.47,0.06,3.15,0.19,1.809885553
0.21,0.12,2.97,0.18,5.61143731
0.62,0.08,3.43,0.18,1.199650002
0.7,0.06,4.34,0.2,1.070318849
0.7,0.04,2.69,0.13,1.054677431
0.75,0.07,2.92,0.13,1.069903182
0.69,0.04,2.97,0.09,1.068093556
0.93,0.04,3.2,0.12,1.565126047
