1,0.06,4.619,0.009,2.25334559
0.78,0.09,4.569,0.009,1.12535642
0.74,0.1,4.621,0.009,1.11962514
1,0.09,4.673,0.012,2.19262635
0.8,0.13,4.613,0.01,1.23307121
0.89,0.08,4.644,0.007,1.3870301
1.02,0.08,4.648,0.011,2.46887905
0.88,0.11,4.627,0.014,1.38852617
0.87,0.09,4.587,0.007,1.32150869
0.83,0.11,4.608,0.011,1.24406939
0.86,0.08,4.601,0.008,1.27376964
0.66,0.11,4.619,0.012,1.175841
0.5,0.08,4.578,0.004,1.6218649
0.53,0.06,4.603,0.006,1.45683132
0.75,0.05,4.595,0.006,1.03807258
0.57,0.04,4.577,0.006,1.28770089
0.57,0.05,4.603,0.005,1.29799331
0.82,0.07,4.602,0.007,1.15377861
0.71,0.04,4.599,0.007,1.04299074
0.63,0.05,4.57,0.005,1.16261552
0.41,0.02,4.593,0.004,2.39401367
0.61,0.07,4.597,0.006,1.21219044
0.55,0.02,4.582,0.005,1.33427199
0.64,0.04,4.609,0.003,1.14540478
0.8,0.04,4.586,0.005,1.07811852
0.62,0.07,4.578,0.009,1.1912766
0.76,0.05,4.577,0.004,1.04186064
0.59,0.04,4.569,0.006,1.23587782
0.47,0.03,4.578,0.005,1.81882479
0.55,0.03,4.587,0.005,1.34510075
0.7,0.03,4.561,0.006,1.04988058
0.64,0.03,4.575,0.004,1.14752634
0.87,0.07,4.594,0.004,1.29642255
0.47,0.06,4.593,0.004,1.80988555
0.21,0.12,4.581,0.004,5.61143731
0.62,0.08,4.603,0.005,1.19965
0.7,0.06,4.588,0.003,1.07031885
0.38,0.07,4.6,0.007,2.78609001
0.7,0.04,4.604,0.007,1.05467743
0.75,0.07,4.568,0.009,1.06990318
0.69,0.04,4.602,0.004,1.06809356
0.93,0.04,4.603,0.004,1.56512605
0.6,0.06,4.587,0.003,1.2275542
0.67,0.04,4.599,0.003,1.09807403
0.58,0.06,4.591,0.004,1.27829513
0.58,0.05,4.587,0.003,1.26947522
0.57,0.05,4.594,0.003,1.29799331
0.54,0.06,4.609,0.004,1.41401776
0.81,0.05,4.605,0.002,1.10893496
0.67,0.05,4.59,0.004,1.09914526
0.68,0.06,4.604,0.003,1.09090407
0.64,0.05,4.578,0.004,1.14559205
0.8,0.05,4.604,0.004,1.08928113
0.81,0.14,4.549,0.007,1.27150783
0.72,0.07,4.591,0.003,1.07050679
1.06,0.07,4.565,0.01,3.19741103
0.77,0.05,4.591,0.003,1.04886579
0.77,0.09,4.553,0.004,1.11615288
0.47,0.05,4.573,0.006,1.81074069
0.56,0.06,4.558,0.004,1.33962699
0.33,0.13,4.572,0.008,3.17584478
0.36,0.06,4.561,0.006,3.16881185
0.06,0.05,4.563,0.005,11.002638
0.21,0.04,4.575,0.005,6.45224743
0.52,0.06,4.576,0.005,1.50374874
0.38,0.06,4.624,0.003,2.82234979
0.13,0.02,4.618,0.002,7.94289011
0.22,0.05,4.585,0.003,6.25351827
0.15,0.04,4.572,0.003,7.61991035
0.24,0.04,4.55,0.003,5.98887515
0.26,0.13,4.534,0.011,4.36168095
0.56,0.02,4.575,0.002,1.29781837
0.83,0.08,4.598,0.004,1.19058816
0.64,0.04,4.546,0.003,1.14540478
0.63,0.05,4.581,0.006,1.16261552
0.76,0.04,4.595,0.005,1.02635667
0.78,0.05,4.603,0.006,1.05913131
0.68,0.06,4.581,0.008,1.09090407
0.77,0.05,4.572,0.004,1.04886579
0.73,0.04,4.585,0.005,1.02679927
0.65,0.03,4.59,0.003,1.13246368
0.91,0.07,4.612,0.004,1.47386493
0.87,0.05,4.587,0.006,1.28174747
0.78,0.07,4.597,0.004,1.09042705
0.79,0.07,4.588,0.005,1.10230836
0.77,0.05,4.594,0.003,1.04886579
0.92,0.07,4.59,0.005,1.52978061
0.78,0.05,4.569,0.006,1.05913131
0.79,0.05,4.586,0.005,1.07263259
0.62,0.04,4.579,0.003,1.17795605
0.8,0.04,4.605,0.005,1.07811852
0.6,0.04,4.589,0.006,1.21456874
0.35,0.05,4.569,0.002,3.43064331
0.41,0.21,4.58,0.009,2.17795842
0.52,0.08,4.562,0.013,1.51893867
0.72,0.06,4.591,0.008,1.05694675
0.04,0.02,4.618,0.002,10.9142929
0.62,0.08,4.568,0.008,1.19965
0.56,0.05,4.579,0.005,1.32988086
0.45,0.06,4.602,0.004,1.9728789
0.69,0.07,4.579,0.003,1.08949091
0.51,0.06,4.59,0.007,1.55503368
